UniProt_id	UniProt_entry
O14757	CHK1_HUMAN
P09429	HMGB1_HUMAN
P26583	HMGB2_HUMAN
Q6UX06	OLFM4_HUMAN
P58304	VSX2_HUMAN
P48431	SOX2_HUMAN
Q6NT55	CP4FN_HUMAN
P36551	HEM6_HUMAN
Q9UHX3	AGRE2_HUMAN
Q9HCP0	KC1G1_HUMAN
P98170	XIAP_HUMAN
P51532	SMCA4_HUMAN
P46531	NOTC1_HUMAN
Q13309	SKP2_HUMAN
P42336	PK3CA_HUMAN
Q5T5P2	SKT_HUMAN
P05455	LA_HUMAN
Q8NFH3	NUP43_HUMAN
Q9Y297	FBW1A_HUMAN
Q9Y5U9	IR3IP_HUMAN
Q9UNQ0	ABCG2_HUMAN
Q92598	HS105_HUMAN
Q8N1E6	FXL14_HUMAN
Q9UHG0	DCDC2_HUMAN
Q9NYP9	MS18A_HUMAN
Q8TBE0	BAHD1_HUMAN
P61925	IPKA_HUMAN
Q01860	PO5F1_HUMAN
O43504	LTOR5_HUMAN
Q9UGN5	PARP2_HUMAN
Q16763	UBE2S_HUMAN
Q6STE5	SMRD3_HUMAN
O14657	TOR1B_HUMAN
Q92769	HDAC2_HUMAN
P11473	VDR_HUMAN
P00750	TPA_HUMAN
P05121	PAI1_HUMAN
Q92886	NGN1_HUMAN
O00548	DLL1_HUMAN
Q9H1D0	TRPV6_HUMAN
Q13315	ATM_HUMAN
O96017	CHK2_HUMAN
Q2VWA4	SKOR2_HUMAN
Q9UDY8	MALT1_HUMAN
P24592	IBP6_HUMAN
P43630	KI3L2_HUMAN
O00443	P3C2A_HUMAN
O15455	TLR3_HUMAN
P28069	PIT1_HUMAN
O00622	CCN1_HUMAN
P43088	PF2R_HUMAN
Q9Y2D1	ATF5_HUMAN
P60484	PTEN_HUMAN
Q12870	TCF15_HUMAN
Q9BXC9	BBS2_HUMAN
Q96K30	RITA1_HUMAN
Q6DKI7	PVRIG_HUMAN
Q6YP21	KAT3_HUMAN
P40818	UBP8_HUMAN
Q9H4P4	RNF41_HUMAN
P63244	RACK1_HUMAN
P17661	DESM_HUMAN
Q8NAU1	FNDC5_HUMAN
P02452	CO1A1_HUMAN
O75920	SERF1_HUMAN
P18621	RL17_HUMAN
Q06787	FMR1_HUMAN
Q15063	POSTN_HUMAN
P60008	HILS1_HUMAN
Q9BX95	SGPP1_HUMAN
Q9ULC3	RAB23_HUMAN
Q15583	TGIF1_HUMAN
P84022	SMAD3_HUMAN
P11274	BCR_HUMAN
P00519	ABL1_HUMAN
P35228	NOS2_HUMAN
Q16566	KCC4_HUMAN
P48061	SDF1_HUMAN
Q9UNG2	TNF18_HUMAN
P16070	CD44_HUMAN
P12755	SKI_HUMAN
Q96GC9	VMP1_HUMAN
Q09472	EP300_HUMAN
P99999	CYC_HUMAN
P40763	STAT3_HUMAN
Q96AB6	NTAN1_HUMAN
O75970	MPDZ_HUMAN
Q9NRK6	ABCBA_HUMAN
P55259	GP2_HUMAN
P22607	FGFR3_HUMAN
Q8WYA0	IFT81_HUMAN
P05091	ALDH2_HUMAN
P46013	KI67_HUMAN
Q14114	LRP8_HUMAN
P18827	SDC1_HUMAN
O15528	CP27B_HUMAN
P10911	MCF2_HUMAN
P19793	RXRA_HUMAN
Q9NZH6	IL37_HUMAN
Q99963	SH3G3_HUMAN
P12931	SRC_HUMAN
Q6ZN18	AEBP2_HUMAN
Q8IUX7	AEBP1_HUMAN
Q13636	RAB31_HUMAN
Q6NZY7	BORG3_HUMAN
P35558	PCKGC_HUMAN
P01178	NEU1_HUMAN
Q9UGI9	AAKG3_HUMAN
P51553	IDH3G_HUMAN
P49336	CDK8_HUMAN
Q14676	MDC1_HUMAN
O60934	NBN_HUMAN
P46934	NEDD4_HUMAN
Q8IWU5	SULF2_HUMAN
O95983	MBD3_HUMAN
O15297	PPM1D_HUMAN
P10643	CO7_HUMAN
Q7M4L6	SHF_HUMAN
O00206	TLR4_HUMAN
O60603	TLR2_HUMAN
Q9BXS5	AP1M1_HUMAN
Q99836	MYD88_HUMAN
P16333	NCK1_HUMAN
Q99259	DCE1_HUMAN
P08779	K1C16_HUMAN
O00220	TR10A_HUMAN
P51812	KS6A3_HUMAN
Q9UK32	KS6A6_HUMAN
P01112	RASH_HUMAN
Q9NYX4	CALY_HUMAN
Q8IWU6	SULF1_HUMAN
Q9NXB0	MKS1_HUMAN
P08253	MMP2_HUMAN
Q9NPD8	UBE2T_HUMAN
Q14493	SLBP_HUMAN
Q92819	HYAS2_HUMAN
Q9P2H3	IFT80_HUMAN
Q03518	TAP1_HUMAN
Q8TDD2	SP7_HUMAN
O75146	HIP1R_HUMAN
P10646	TFPI1_HUMAN
P41743	KPCI_HUMAN
P30566	PUR8_HUMAN
P60660	MYL6_HUMAN
O95232	LC7L3_HUMAN
Q9UJW0	DCTN4_HUMAN
Q00604	NDP_HUMAN
P52701	MSH6_HUMAN
P33032	MC5R_HUMAN
P32245	MC4R_HUMAN
Q494V2	CP100_HUMAN
P06858	LIPL_HUMAN
O00255	MEN1_HUMAN
Q9NQ92	COPRS_HUMAN
O94805	ACL6B_HUMAN
Q9BXL7	CAR11_HUMAN
Q9Y4K3	TRAF6_HUMAN
Q9Y6K9	NEMO_HUMAN
O95999	BCL10_HUMAN
P61981	1433G_HUMAN
Q15942	ZYX_HUMAN
P29375	KDM5A_HUMAN
Q9Y6X3	SCC4_HUMAN
P61088	UBE2N_HUMAN
Q8N371	KDM8_HUMAN
Q8NB78	KDM1B_HUMAN
P08842	STS_HUMAN
Q92624	APBP2_HUMAN
P08670	VIME_HUMAN
Q6QN14	U17L6_HUMAN
P55273	CDN2D_HUMAN
Q504Y2	PKDCC_HUMAN
P11831	SRF_HUMAN
Q15831	STK11_HUMAN
Q96JD6	AKCL2_HUMAN
Q9Y3P8	SIT1_HUMAN
Q9UIB8	SLAF5_HUMAN
O43916	CHST1_HUMAN
P18509	PACA_HUMAN
Q13418	ILK_HUMAN
P23582	ANFC_HUMAN
Q9H6I2	SOX17_HUMAN
P20023	CR2_HUMAN
Q13114	TRAF3_HUMAN
Q99848	EBP2_HUMAN
P15056	BRAF_HUMAN
Q92831	KAT2B_HUMAN
Q03112	MECOM_HUMAN
Q8NHS0	DNJB8_HUMAN
Q86YF9	DZIP1_HUMAN
Q9BZA8	PC11Y_HUMAN
Q9BV57	MTND_HUMAN
Q9NX47	MARH5_HUMAN
P19971	TYPH_HUMAN
Q9C004	SPY4_HUMAN
P80370	DLK1_HUMAN
P06756	ITAV_HUMAN
P35612	ADDB_HUMAN
Q9H2J7	S6A15_HUMAN
Q86VQ0	LCA5_HUMAN
Q9HC29	NOD2_HUMAN
Q5T890	ER6L2_HUMAN
Q05397	FAK1_HUMAN
Q8N6T7	SIR6_HUMAN
P55771	PAX9_HUMAN
Q9Y6R0	NUMBL_HUMAN
Q9UL49	TCFL5_HUMAN
P25815	S100P_HUMAN
P01579	IFNG_HUMAN
Q02556	IRF8_HUMAN
P52333	JAK3_HUMAN
P60604	UB2G2_HUMAN
Q8WW38	FOG2_HUMAN
P02766	TTHY_HUMAN
P16298	PP2BB_HUMAN
P01303	NPY_HUMAN
Q9NRR2	TRYG1_HUMAN
Q99653	CHP1_HUMAN
O14896	IRF6_HUMAN
Q5FYB1	ARSI_HUMAN
Q9H9Z2	LN28A_HUMAN
Q9BZE9	ASPC1_HUMAN
P01011	AACT_HUMAN
P32239	GASR_HUMAN
P78411	IRX5_HUMAN
P31270	HXA11_HUMAN
Q99941	ATF6B_HUMAN
Q14739	LBR_HUMAN
P55287	CAD11_HUMAN
Q9UQ13	SHOC2_HUMAN
Q6PL18	ATAD2_HUMAN
Q13162	PRDX4_HUMAN
Q13951	PEBB_HUMAN
Q9UPZ9	CILK1_HUMAN
Q96I15	SCLY_HUMAN
P17542	TAL1_HUMAN
P11498	PYC_HUMAN
P49757	NUMB_HUMAN
Q96J02	ITCH_HUMAN
O76027	ANXA9_HUMAN
Q6UVK1	CSPG4_HUMAN
Q5T447	HECD3_HUMAN
O60885	BRD4_HUMAN
Q10587	TEF_HUMAN
Q86VV4	RNB3L_HUMAN
O96004	HAND1_HUMAN
Q8WXG8	S100Z_HUMAN
Q02790	FKBP4_HUMAN
Q8IV38	ANKY2_HUMAN
Q08499	PDE4D_HUMAN
P27816	MAP4_HUMAN
Q9Y5Y7	LYVE1_HUMAN
O43915	VEGFD_HUMAN
P28223	5HT2A_HUMAN
O60755	GALR3_HUMAN
P28482	MK01_HUMAN
Q15109	RAGE_HUMAN
O15042	SR140_HUMAN
P00488	F13A_HUMAN
Q8IYR6	TEFF1_HUMAN
P09486	SPRC_HUMAN
Q99816	TS101_HUMAN
O15514	RPB4_HUMAN
Q9BRG1	VPS25_HUMAN
Q07092	COGA1_HUMAN
P05556	ITB1_HUMAN
P50553	ASCL1_HUMAN
Q9H9S0	NANOG_HUMAN
Q9UH73	COE1_HUMAN
Q9BRK3	MXRA8_HUMAN
Q9H790	EXO5_HUMAN
P30613	KPYR_HUMAN
P00352	AL1A1_HUMAN
A8MW95	BECN2_HUMAN
O95628	CNOT4_HUMAN
P42704	LPPRC_HUMAN
Q9UBN7	HDAC6_HUMAN
P54619	AAKG1_HUMAN
P28845	DHI1_HUMAN
P11511	CP19A_HUMAN
Q9NZC7	WWOX_HUMAN
P68402	PA1B2_HUMAN
P55017	S12A3_HUMAN
Q8TDM6	DLG5_HUMAN
Q9UQB9	AURKC_HUMAN
Q9UPR0	PLCL2_HUMAN
Q9H8N7	ZN395_HUMAN
Q99502	EYA1_HUMAN
Q15475	SIX1_HUMAN
P27815	PDE4A_HUMAN
Q14126	DSG2_HUMAN
Q9UM11	FZR1_HUMAN
P04626	ERBB2_HUMAN
B7Z8K6	TRDC_HUMAN
P11021	BIP_HUMAN
P50750	CDK9_HUMAN
Q9H7F0	AT133_HUMAN
P51608	MECP2_HUMAN
Q9Y5S8	NOX1_HUMAN
P01834	IGKC_HUMAN
